path,module,exists,size,title,charset_meta,h1_count,suspicious,broken_internal_links,notes
ai_tools/_landing/ai_platforms.html,ai_tools,1,2936,AI平台导览 - AI Tools,UTF-8,1,,0,
ai_tools/_landing/media_tools.html,ai_tools,1,2964,媒体工具导览 - AI Tools,UTF-8,1,,0,
ai_tools/404.html,ai_tools,1,1237,工具開發中 - AI工具中心,UTF-8,1,404,0,
ai_tools/components/ai_tool_footer.html,ai_tools,1,3644,,,0,,7,EMPTY_TITLE;BROKEN_LINKS
ai_tools/components/ai_tool_navigation_enhanced.html,ai_tools,1,7893,,,0,,8,EMPTY_TITLE;BROKEN_LINKS
ai_tools/dashboard.html,ai_tools,1,31527,AI 工具中心 - 控制台,UTF-8,1,,0,
ai_tools/functions/ai_ask_homework_new.html,ai_tools,1,22856,AI 問功課助手 - 聖經學習,UTF-8,1,,0,
ai_tools/functions/ai_core.html,ai_tools,1,10107,AI 核心功能 AI Core － 聖經教與學,UTF-8,1,,0,
ai_tools/functions/ai_creative.html,ai_tools,1,8588,創意助手 Creative － 聖經多媒體教材,UTF-8,1,,0,
ai_tools/functions/ai_lesson_design.html,ai_tools,1,45707,課程設計助手 - 聖經教學課程設計,utf-8,0,,0,NO_H1
ai_tools/functions/ai_text_to_image_fixed.html,ai_tools,1,13894,文字轉圖片（聖經插圖／連環圖）,utf-8,0,,1,NO_H1;BROKEN_LINKS
ai_tools/functions/B_test.html,ai_tools,1,12049,聖經一百步 - 智慧型工作檯 (一體化版本),UTF-8,0,test|B_test,0,NO_H1
ai_tools/functions/B_智慧一站式教室 test.html,ai_tools,1,12047,聖經一百步 - 智慧一站式教室,UTF-8,1,test,0,
ai_tools/functions/temp_index_plugin.html,ai_tools,1,7159,聖經一百步 - 智慧型主控台,UTF-8,0,temp,0,NO_H1
ai_tools/guides/beginner_tutorial.html,ai_tools,1,2,,,0,,0,EMPTY_TITLE;NO_H1
ai_tools/guides/prompt_writing_guide.html,ai_tools,1,5993,📖 Prompt 設計指南 - 聖經教學 AI 工具中心,UTF-8,1,,0,
ai_tools/index.html,ai_tools,1,13102,AI 工具中心 - Bible 100 Steps Four Treasures,UTF-8,0,,16,NO_H1;BROKEN_LINKS
ai_tools/pages/ai_agent_apps.html,ai_tools,1,21410,AI Agent 工具 - 聖經遊戲應用開發,utf-8,0,,0,NO_H1
ai_tools/pages/ai_lesson_plan.html,ai_tools,1,14398,課程設計與活動（AI 協作備課）,utf-8,0,,1,NO_H1;BROKEN_LINKS
ai_tools/pages/ai_qa_system.html,ai_tools,1,21577,AI 智能問答系統 - 聖經學習助手,utf-8,0,,0,NO_H1
ai_tools/pages/ai_quiz_generator.html,ai_tools,1,35606,測驗生成器 - 聖經測驗作業,utf-8,0,,0,NO_H1
ai_tools/pages/ai_text_to_image.html,ai_tools,1,18619,文字轉圖像 Text to Image － 聖經插圖,UTF-8,1,,0,
ai_tools/pages/ai_text_to_music.html,ai_tools,1,16767,文字轉音樂 Text to Music － 聖經背景音樂創作,UTF-8,1,,0,
ai_tools/pages/ai_text_to_speech.html,ai_tools,1,17503,文字轉語音 Text to Speech － 聖經朗讀配音,UTF-8,1,,0,
ai_tools/sidebar.html,ai_tools,1,10642,AI 工具中心 - 侧边栏 (無 JS 機關版),UTF-8,0,,0,
ai_tools/tools/ai_media_embed_new.html,ai_tools,1,20459,🎬 YouTube播放列表製作教學 - AI工具,UTF-8,1,,0,
ai_tools/tools/ai_text_to_video.html,ai_tools,1,25601,文生視頻 - 聖經故事視頻創作平台,utf-8,1,,0,
ai_tools/tools/bible_prompt_generator.html,ai_tools,1,9588,聖經Prompt生成器 - AI工具中心,UTF-8,1,,0,
ai_tools/tools/creative_tools_landing.html,ai_tools,1,5208,🎨 創作工具 Creative Tools - 聖經教學專區,UTF-8,1,,0,
ai_tools/tools/timestamp_playlist_generator.html,ai_tools,1,62804,時間戳播放列表生成器 - 多平台支持,utf-8,0,,0,NO_H1
ai_tools/tools/youtube_media_embed_tool.html,ai_tools,1,37112,YouTube媒體嵌入工具 - 快速嵌入與時間戳播放列表,UTF-8,2,,0,MULTI_H1
ai_tools/tools/youtube_playlist_tutorial.html,ai_tools,1,37241,🎬 YouTube播放列表製作教學 - AI工具,UTF-8,2,,1,MULTI_H1;BROKEN_LINKS
ai_tools/youtube_embed_generator.html,ai_tools,1,4649,YouTube嵌入代码生成器,utf-8,0,,0,NO_H1
bible_study/_landing/commentaries_landing.html,bible_study,1,4080,注释书导览 - Bible Study,UTF-8,1,,0,
bible_study/_landing/dictionaries_landing.html,bible_study,1,3434,圣经词典导览 - Bible Study,UTF-8,1,,0,
bible_study/_landing/geography_history.html,bible_study,1,4502,聖經地理歷史 - Bible Geography & History,UTF-8,1,,0,
bible_study/_landing/navigation.html,bible_study,1,16163,聖經導航中心 - Bible Study,UTF-8,1,,1,BROKEN_LINKS
bible_study/_landing/navigation_v2_tiny.html,bible_study,1,23667,聖經導航中心 - Bible Study,UTF-8,1,,1,BROKEN_LINKS
bible_study/_landing/navigation_v3_half.html,bible_study,1,20385,聖經導航中心 v3.0 - 縮一半版,UTF-8,1,,1,BROKEN_LINKS
