date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:51	6631/6631	---M--	404	error ('Not%20Found')	text/html	etag:%2262c4-190e-3e650381%22	www.geocities.com/robots.txt		(from )
18:41:52	47025/47025	---M--	200	added ('OK')	text/html	etag:%22d19f59-b3cf-3c0958b5%22	www.geocities.com/Vienna/Choir/1724/index.html	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/index.html	(from )
18:41:54	155/155	---M--	200	added ('OK')	image/gif	etag:%223ed6cd-9b-3a0ae3aa%22	pic.geocities.com/us/i/geo/ao/pstat.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/pic.geocities.com/us/i/geo/ao/pstat.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:54	1345/1345	---M--	200	added ('OK')	image/gif	etag:%22d19f4e-541-35c3847b%22	www.geocities.com/Vienna/Choir/1724/StaffBegin.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/StaffBegin.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:54	1038/1038	---M--	200	added ('OK')	image/gif	etag:%22d19f4d-40e-35bfbd7f%22	www.geocities.com/Vienna/Choir/1724/StaffEnd.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/StaffEnd.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:54	4277/4277	---M--	200	added ('OK')	image/gif	etag:%22d19f4f-10b5-362b59c3%22	www.geocities.com/Vienna/Choir/1724/nwcring.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwcring.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:54	3218/3218	---M--	200	added ('OK')	image/gif	etag:%22d19f53-c92-362b59cb%22	www.geocities.com/Vienna/Choir/1724/nwcquest.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwcquest.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:55	1078/1078	---M--	200	added ('OK')	image/gif	etag:%2249fba1-436-362b59ca%22	www.geocities.com/Vienna/Choir/1724/nwcomposer.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwcomposer.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:56	1078/1078	---M--	200	added ('OK')	image/gif	etag:%22d19f4b-436-35be811c%22	www.geocities.com/Vienna/Choir/1724/nwplayer.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwplayer.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:56	1076/1076	---M--	200	added ('OK')	image/gif	etag:%22d19f4c-434-35bf321f%22	www.geocities.com/Vienna/Choir/1724/toparrow.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/toparrow.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:57	3981/3981	---M--	200	added ('OK')	image/gif	etag:%22d19f51-f8d-362b59c5%22	www.geocities.com/Vienna/Choir/1724/nwcleft.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwcleft.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:58	3975/3975	---M--	200	added ('OK')	image/gif	etag:%22d19f56-f87-362b59e0%22	www.geocities.com/Vienna/Choir/1724/nwcexcl.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwcexcl.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:58	3996/3996	---M--	200	added ('OK')	image/gif	etag:%22d19f54-f9c-362b59d3%22	www.geocities.com/Vienna/Choir/1724/nwcright.gif	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/Vienna/Choir/1724/nwcright.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:58	407/407	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2006%20Feb%202002%2019:53:59%20GMT	us.i1.yimg.com/us.yimg.com/i/mc/mc.js	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/us.i1.yimg.com/us.yimg.com/i/mc/mc.js	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:59	4904/4904	---M--	200	added ('OK')	application/x-javascript	etag:%22bf27-1328-3ac13b24%22	www.geocities.com/js_source/ygNSLib9.js?v3	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/js_source/ygNSLib943a0.js	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:59	635/635	---M--	200	added ('OK')	application/x-javascript	etag:%22bdff-27b-3911e5fd%22	geocities.com/js_source/geov2.js	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/geocities.com/js_source/geov2.js	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:41:59	85/85	---M--	200	added ('OK')	image/gif	date:Wed,%2015%20Oct%202003%2010:42:02%20GMT	visit.webhosting.yahoo.com/visit.gif?us1066214514	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/visit.webhosting.yahoo.com/visitd80b.gif	(from www.geocities.com/Vienna/Choir/1724/index.html)
18:42:00	1958/1958	---M--	200	added ('OK')	application/x-javascript	etag:%22a0c1-7a6-3d2b8dce%22	www.geocities.com/js_source/pu5geo.js	D:/Web%20Lost/Web%20Music/Piano%20and%20Vocal%20Music%20-%20NWC/www.geocities.com/js_source/pu5geo.js	(from www.geocities.com/Vienna/Choir/1724/index.html)
